30 1040
8 5 4
28 10 4
26 27 4
6 9 4
15 2 4
19 22 4
9 1 4
21 9 4
12 19 4
11 14 5
6 0 5
27 1 5
29 22 5
24 13 4
6 18 4
17 16 5
16 8 5
7 2 4
19 6 4
24 12 5
27 0 4
16 19 4
18 24 5
29 13 4
21 28 5
0 7 5
1 23 5
16 24 5
29 26 5
18 1 4
27 6 4
5 11 4
3 3 4
18 0 5
26 10 5
12 15 5
9 28 4
20 12 5
6 23 5
10 8 5
11 7 4
8 24 5
18 15 4
12 6 5
12 22 5
17 25 5
20 17 5
15 24 4
5 21 5
29 29 4
27 29 4
10 18 5
26 13 5
12 12 4
15 3 4
9 26 5
3 23 5
20 11 4
0 25 4
27 6 5
26 1 5
11 2 5
4 21 5
6 26 4
24 20 5
14 27 5
24 7 5
5 27 5
8 23 5
28 20 4
21 5 5
2 19 4
22 5 4
26 17 4
19 1 5
16 19 5
24 9 5
5 21 4
0 6 5
15 4 5
6 18 4
3 26 4
26 1 4
15 20 4
24 29 5
24 13 4
21 26 5
4 13 4
15 27 5
27 19 5
17 18 5
10 20 5
4 3 4
21 9 5
5 24 5
11 23 5
10 25 4
9 27 5
14 29 5
16 8 4
4 18 5
10 5 5
4 12 4
14 9 5
8 29 4
9 4 5
22 22 4
28 19 4
24 10 5
19 2 4
20 6 5
21 13 5
26 17 5
19 9 4
5 10 5
13 7 4
11 21 4
25 29 4
7 21 4
4 13 5
21 4 4
17 8 4
25 24 4
15 14 4
23 26 5
10 23 4
0 28 5
1 10 5
1 5 5
20 29 5
20 20 5
10 6 5
6 24 5
0 25 4
21 29 4
19 11 4
9 12 4
3 21 4
21 7 4
9 24 4
9 10 4
3 9 5
18 2 4
27 23 4
20 1 5
10 21 5
21 23 5
16 19 5
3 26 4
1 16 4
14 1 5
5 2 5
23 21 5
26 29 5
6 2 5
27 22 5
23 8 4
16 27 5
3 21 4
25 6 4
3 14 4
16 2 4
17 22 5
15 3 5
25 9 5
4 14 4
20 10 4
23 22 5
7 20 5
4 21 4
6 16 5
9 4 5
13 29 4
8 11 5
13 26 5
17 16 5
23 28 4
16 24 5
21 17 4
0 0 4
11 19 4
15 4 4
13 28 5
24 0 5
29 11 4
17 29 5
23 28 5
20 4 4
11 19 5
2 15 4
13 20 4
28 17 5
25 14 4
22 19 4
21 29 4
29 21 5
0 11 5
13 29 4
5 23 4
26 18 5
27 16 4
17 3 4
4 26 5
13 3 4
3 26 5
22 15 5
5 8 5
20 9 5
15 3 4
12 9 4
4 21 4
8 25 5
12 24 5
11 12 4
23 20 4
25 19 5
26 17 5
9 12 4
27 21 4
26 24 5
10 0 4
20 9 4
2 13 5
3 0 5
12 9 5
7 1 4
26 11 4
16 10 5
12 11 4
11 2 5
7 19 4
28 12 5
12 12 4
24 4 4
0 1 5
2 28 4
27 9 4
9 15 4
2 16 4
2 3 4
4 18 5
25 7 5
27 17 5
29 28 5
10 15 5
9 17 4
12 14 5
2 0 5
16 1 5
13 22 5
8 11 5
18 24 5
15 26 4
27 4 4
29 7 4
26 8 5
23 15 4
18 21 5
18 15 5
6 10 4
21 12 4
28 5 5
18 20 4
21 0 4
8 15 5
16 20 4
22 16 4
20 26 4
2 25 5
21 9 4
14 13 5
11 9 5
0 22 5
12 23 5
8 28 5
23 16 5
22 3 4
11 26 5
11 13 4
1 19 4
28 25 4
0 3 5
28 2 5
20 11 5
13 6 4
17 28 4
6 20 5
17 0 4
20 1 5
4 0 4
0 13 4
24 18 5
3 15 4
25 5 4
18 27 5
3 8 5
7 4 4
16 10 4
21 23 5
25 3 5
26 29 4
15 7 4
22 3 5
15 7 5
10 22 5
2 8 5
26 15 5
5 8 5
4 17 4
13 21 5
23 19 5
13 8 5
0 15 4
16 16 5
10 11 5
7 14 5
25 26 5
12 16 4
11 13 5
9 9 4
17 25 4
12 2 4
28 10 5
4 19 4
19 2 5
12 29 4
24 8 5
12 22 4
15 14 5
21 3 4
20 23 5
2 20 4
19 0 4
6 1 4
11 5 5
4 3 4
16 5 5
4 28 5
28 27 5
28 27 4
4 14 4
11 20 5
15 7 5
2 24 4
0 5 5
0 22 5
27 12 5
28 0 5
25 0 5
20 8 5
9 19 4
16 14 4
5 23 4
6 15 4
29 26 4
25 26 4
21 9 4
18 20 5
10 27 4
17 13 4
20 25 4
13 2 5
17 0 4
