100 1000
63 41 21
54 14 36
37 85 74
17 99 63
54 66 92
2 18 49
65 30 75
45 70 50
79 62 56
94 12 79
74 42 55
32 89 5
39 9 89
80 3 93
87 15 59
3 5 64
33 92 81
92 40 74
23 63 5
27 71 66
6 37 27
98 85 78
23 3 50
60 49 42
25 86 40
12 19 68
42 24 96
36 88 86
98 68 72
67 21 53
98 67 76
9 8 64
79 16 24
60 22 65
14 65 11
90 4 52
56 21 12
33 78 66
15 84 45
58 96 23
33 62 40
71 65 17
34 22 42
1 12 19
49 63 79
51 54 21
32 40 46
8 42 83
65 63 9
85 18 76
70 57 20
15 58 73
69 1 1
93 3 55
54 75 86
31 56 42
48 43 77
69 44 70
44 11 50
23 85 70
57 95 80
88 77 76
86 75 90
54 83 98
31 58 84
74 51 1
80 72 5
66 55 50
21 19 47
26 54 60
88 30 56
8 18 29
19 66 76
94 91 11
35 5 87
52 0 18
94 13 55
57 87 43
44 91 15
22 75 6
69 13 46
65 18 74
44 57 12
12 59 27
17 63 79
78 85 13
63 87 80
65 16 46
5 55 80
60 47 45
93 21 52
84 83 60
65 38 41
21 10 62
88 61 96
11 80 38
45 74 64
5 72 48
68 99 60
89 6 68
90 25 4
44 90 44
38 6 77
85 14 77
64 92 35
32 43 66
38 90 82
65 87 99
83 8 51
10 63 57
44 0 79
6 29 45
81 43 41
62 59 40
75 73 89
33 32 64
94 23 34
13 61 86
29 81 47
52 81 87
0 94 70
80 42 80
85 17 94
50 25 71
70 50 70
72 94 27
67 86 70
72 90 54
66 95 99
5 67 11
11 30 82
62 61 39
32 14 5
98 99 65
40 29 21
81 42 44
39 16 69
65 57 10
57 34 97
93 62 19
56 88 58
84 44 76
30 66 32
52 73 46
55 91 72
24 71 16
60 93 68
7 36 11
90 93 87
33 76 21
17 47 51
33 96 32
66 43 17
59 48 33
78 80 96
56 64 59
38 31 92
97 74 7
62 27 26
27 95 65
62 50 96
2 49 68
22 44 78
62 66 67
46 79 82
58 0 85
76 30 43
58 46 1
23 42 57
14 59 28
93 76 63
56 13 33
19 93 34
76 68 19
84 28 67
33 71 54
56 90 59
40 28 86
48 12 50
86 24 100
3 57 9
59 32 84
9 63 63
22 6 75
59 40 46
96 20 74
99 49 65
25 58 6
82 96 29
50 36 61
65 85 75
19 18 25
90 29 42
35 50 55
13 5 77
19 78 41
13 10 35
93 73 15
24 25 34
72 57 81
74 26 96
64 79 20
66 60 90
57 17 33
62 90 91
60 26 72
14 51 65
74 27 71
89 97 51
5 98 24
36 84 39
11 47 17
97 23 46
39 52 78
23 41 6
91 78 61
30 92 53
84 37 2
12 17 20
84 71 15
65 51 95
17 87 90
53 35 61
24 63 1
3 23 25
90 61 33
59 41 14
81 88 9
20 42 95
79 11 26
96 89 83
13 42 67
24 3 64
76 84 63
38 23 61
42 16 88
35 99 26
99 11 80
81 63 65
34 1 94
81 53 98
34 13 100
8 54 34
59 6 85
30 13 53
13 78 91
25 0 43
80 51 8
91 27 47
44 45 40
46 23 37
50 55 89
82 43 76
97 32 55
3 52 30
45 12 51
62 21 34
3 56 65
89 75 98
12 44 96
63 84 41
33 92 58
56 40 10
77 84 45
53 15 54
47 45 29
80 74 69
5 89 60
95 96 5
44 5 70
51 45 74
87 68 58
77 7 100
94 41 59
17 26 52
57 59 5
72 15 22
42 54 55
39 91 1
2 45 88
40 85 4
68 18 9
79 33 94
34 88 27
31 22 18
49 32 66
32 22 97
96 86 63
9 27 74
6 41 15
4 33 57
90 56 49
89 76 60
66 24 69
94 72 25
90 40 18
28 58 1
8 44 75
17 0 24
12 76 71
47 57 7
37 60 59
10 84 80
20 71 79
56 6 99
88 71 1
44 39 64
17 48 55
20 29 37
45 54 80
52 57 42
8 45 7
71 62 37
24 94 88
6 52 94
21 12 69
55 8 11
50 20 73
44 7 12
48 25 100
37 77 66
73 15 77
76 90 89
31 35 3
20 88 14
23 49 64
70 2 43
99 6 3
12 46 47
87 84 36
56 18 92
3 19 36
76 74 74
71 72 15
99 40 10
48 8 91
41 81 53
17 78 5
64 84 66
43 39 51
61 58 28
8 36 14
64 99 23
31 72 84
95 30 89
18 93 57
94 14 60
94 28 86
6 42 40
96 42 3
82 51 41
27 97 80
22 80 4
14 9 86
34 5 62
1 24 85
70 85 100
54 38 15
99 37 81
93 20 7
17 9 90
70 73 40
51 19 43
97 40 48
95 19 24
43 64 97
72 56 84
68 31 72
40 83 81
4 92 94
15 47 51
74 97 72
74 95 31
74 12 94
23 80 55
65 25 11
92 86 71
42 53 18
20 92 1
71 66 73
28 42 58
21 83 91
37 84 1
34 50 67
29 4 54
5 77 56
55 57 81
93 52 94
41 62 93
57 4 40
4 52 17
52 43 45
18 83 28
34 98 13
39 43 73
34 15 34
10 27 64
28 41 72
19 21 76
20 48 68
17 77 51
66 33 23
46 78 44
66 94 54
27 6 12
41 96 31
43 44 5
14 31 55
37 5 33
5 85 47
81 51 11
59 30 69
15 55 36
85 68 47
14 52 98
25 56 47
43 89 27
24 9 21
25 66 57
25 57 66
62 20 48
48 76 3
69 84 77
43 91 7
23 43 69
22 14 4
70 14 100
32 65 79
49 65 86
96 21 43
84 0 29
90 13 61
41 59 81
23 22 60
62 63 81
9 48 85
12 95 79
48 62 17
21 22 3
15 24 43
97 10 61
46 64 80
28 33 38
5 17 44
55 59 52
45 56 37
24 20 90
2 62 16
6 72 57
38 96 12
79 68 45
87 97 81
33 36 94
2 4 33
49 2 44
64 25 45
56 11 79
14 25 8
48 2 41
79 73 89
26 24 11
64 95 29
87 68 37
4 89 74
41 53 41
19 47 31
63 45 2
66 35 6
27 22 91
26 94 88
31 91 87
44 91 57
22 9 67
25 29 41
37 31 68
44 54 97
22 40 28
87 83 21
54 61 92
12 15 43
2 76 84
65 60 69
2 75 97
65 80 89
88 76 96
15 31 40
22 90 37
63 34 26
39 43 51
57 13 78
26 0 77
18 51 81
69 40 64
37 15 86
53 6 15
78 8 15
94 9 64
89 76 22
60 19 16
29 33 26
7 75 94
17 23 5
93 14 89
3 51 93
11 75 17
3 54 60
30 53 3
61 84 6
22 3 76
18 58 9
3 74 38
6 22 31
92 54 76
56 45 49
96 25 10
17 18 69
85 67 39
26 42 78
62 90 77
51 57 70
24 76 46
92 97 38
57 33 64
76 12 58
49 95 24
85 62 70
8 74 63
33 63 52
26 21 77
12 56 49
8 22 46
89 12 2
6 48 18
22 77 9
68 95 62
33 29 20
30 20 99
47 19 46
97 25 72
55 52 4
33 74 28
90 43 93
32 70 31
59 94 59
4 70 52
4 8 9
73 19 14
72 67 94
27 45 4
17 35 81
75 92 81
87 13 29
75 8 81
63 79 26
81 2 17
77 52 69
59 74 30
6 87 25
18 37 20
52 10 27
13 14 44
60 73 9
43 63 99
37 12 16
23 30 78
25 70 96
54 22 55
95 42 84
76 51 90
49 96 51
8 94 13
91 89 31
57 30 87
6 20 95
69 9 23
23 62 35
38 46 25
97 62 65
94 12 43
97 85 56
30 87 93
26 51 21
54 18 3
65 8 70
28 61 81
93 20 15
70 23 75
73 64 94
80 75 18
75 20 92
46 54 34
27 84 72
66 76 73
51 76 39
77 12 7
38 85 20
57 47 14
96 19 60
89 54 42
9 96 56
25 72 27
86 91 6
36 18 16
0 16 25
50 35 53
77 2 42
93 14 21
83 20 39
52 53 79
25 64 76
43 86 27
51 81 64
48 91 19
12 19 77
51 16 36
44 89 1
35 23 88
9 33 35
79 61 88
7 34 21
15 51 52
72 77 83
76 72 35
43 8 69
81 27 43
49 55 92
18 32 99
59 74 79
53 17 40
85 40 86
50 2 16
77 32 90
84 45 73
30 66 66
12 40 14
10 88 49
68 67 75
27 91 46
65 12 71
19 62 7
66 70 63
36 63 26
90 4 86
82 30 67
22 35 19
78 58 36
25 61 9
35 15 7
24 14 58
77 55 19
9 12 83
31 58 4
98 9 93
3 64 17
88 95 10
57 42 55
64 54 40
23 47 16
26 7 84
4 92 59
69 51 50
80 42 81
49 21 80
29 13 74
57 22 31
85 11 15
35 90 96
27 14 87
33 60 32
35 76 16
8 14 27
57 78 96
27 38 91
41 46 79
58 91 94
42 37 56
80 55 64
2 21 75
29 61 76
96 12 8
83 23 99
57 26 63
68 58 72
88 13 67
25 78 61
72 53 40
4 43 57
38 65 47
80 81 32
77 36 17
48 43 34
50 83 9
4 63 45
73 19 51
59 40 98
4 45 70
52 71 24
3 93 27
77 16 15
97 92 41
43 4 15
11 77 63
14 80 39
99 23 94
10 52 39
91 88 33
41 38 60
73 24 80
68 78 32
73 7 81
9 95 30
95 13 20
59 63 7
7 54 49
17 76 42
32 51 4
35 80 1
29 89 3
4 15 78
79 54 33
82 66 98
71 33 27
12 84 79
72 17 70
82 16 65
63 41 39
71 75 41
91 78 85
11 70 10
13 37 42
73 24 46
89 61 64
24 57 39
90 83 62
94 87 18
74 9 24
54 95 99
0 38 83
51 1 47
91 39 57
9 84 25
54 25 45
69 16
