100 500
79 33 53
77 95 75
79 46 47
23 36 23
52 27 57
34 81 75
34 73 40
79 66 97
35 25 50
88 73 26
75 72 5
33 45 83
17 94 54
41 50 68
99 44 86
10 97 13
39 32 24
61 91 25
79 97 42
2 98 21
78 39 17
34 86 79
64 93 58
59 92 92
38 16 67
93 72 27
16 58 9
71 81 32
42 38 98
88 58 89
17 62 9
92 71 16
66 58 35
63 59 35
67 79 80
23 76 2
25 10 76
50 56 95
76 55 34
53 67 97
90 79 100
70 52 55
53 46 98
51 33 23
71 22 3
12 87 70
42 74 57
23 81 8
63 65 21
75 90 3
27 43 86
90 58 26
74 48 24
9 64 47
54 17 86
95 93 37
90 10 83
11 74 68
70 91 4
12 81 74
23 77 84
70 66 91
15 59 96
2 70 33
56 15 5
93 7 87
46 69 70
90 19 83
16 60 30
76 81 99
10 46 7
1 87 85
56 22 50
87 56 12
48 73 11
89 32 61
69 30 71
98 59 46
25 73 84
39 86 39
25 64 92
23 44 42
69 26 19
94 27 49
51 55 62
33 1 71
50 87 58
90 20 8
15 16 12
3 62 72
11 44 88
89 78 79
51 27 86
58 20 7
22 28 23
24 6 88
85 21 15
50 95 47
60 59 41
96 7 6
95 59 19
6 82 61
90 35 57
99 31 91
3 67 39
1 75 3
45 73 93
44 29 61
3 6 78
20 30 71
83 56 73
12 38 66
76 49 63
39 70 79
57 38 37
95 68 96
48 81 65
81 13 55
59 35 27
12 23 92
21 11 76
38 80 59
62 35 13
91 67 35
29 47 53
10 41 27
57 9 55
79 18 30
8 47 12
92 26 2
5 74 20
66 29 51
92 63 68
43 22 5
89 2 18
68 30 27
43 16 17
53 56 51
95 4 49
74 43 54
2 29 76
62 86 49
57 58 40
49 51 97
77 81 84
78 42 17
56 66 90
65 54 38
42 76 24
43 29 86
87 2 12
43 70 35
45 70 50
30 67 24
34 10 2
77 82 36
66 67 61
64 32 28
55 50 64
62 33 54
91 32 91
7 60 79
97 91 94
99 69 97
37 46 63
72 80 91
47 14 42
16 46 14
74 85 38
39 89 63
39 29 14
75 95 100
30 5 39
50 30 6
10 68 22
67 90 47
80 10 73
53 3 68
57 13 25
84 9 82
27 69 69
54 20 57
0 30 5
4 7 65
16 72 86
40 92 43
87 7 14
85 11 37
55 5 12
38 53 88
34 22 18
52 2 92
93 6 41
51 29 83
75 89 63
97 78 50
34 18 46
78 84 39
67 41 69
19 35 28
32 10 66
0 28 34
11 41 86
74 1 4
68 66 58
34 19 62
68 79 87
84 57 3
15 61 1
78 55 25
73 18 23
87 53 33
1 52 63
82 8 53
10 1 54
66 73 95
10 77 74
35 38 37
29 63 32
59 49 90
62 50 8
56 7 92
85 99 76
35 9 40
99 20 97
85 87 33
29 50 24
13 67 17
11 56 43
4 52 12
83 40 58
3 79 60
96 75 9
22 16 19
3 1 19
63 19 20
73 19 75
9 2 18
51 96 71
28 61 1
0 8 81
52 66 79
41 85 94
88 23 17
64 99 72
80 85 39
47 67 39
21 80 77
75 64 56
80 4 81
87 21 84
49 57 24
77 7 5
68 76 36
61 62 22
94 14 35
97 18 27
38 59 11
43 9 15
69 64 86
83 89 18
42 90 34
70 38 17
25 9 22
66 5 91
28 46 12
32 46 60
30 29 10
58 50 82
74 8 55
21 41 28
10 62 72
47 93 85
70 4 23
22 32 96
44 87 96
56 79 61
4 66 82
27 35 6
32 24 66
31 49 39
3 99 85
80 46 1
80 37 27
13 6 24
79 10 47
26 45 8
57 55 95
6 50 69
75 9 93
97 37 15
97 67 25
18 60 51
38 41 63
94 50 16
18 26 88
25 30 41
68 18 66
9 54 87
25 20 88
26 22 19
45 51 97
19 30 84
23 20 14
70 69 62
46 57 62
8 75 65
92 94 28
3 68 51
13 84 60
84 63 100
31 62 1
55 25 95
15 24 76
94 39 38
88 14
